NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT00416312,Iodine I 131 Tositumomab or Yttrium Y 90 Ibritumomab Tiuxetan in Treating Patients With Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00416312,COMPLETED,Lymphoma,DEVICE: Patient-specific dosimetry|DEVICE: conventional dosimetry,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,National Cancer Institute (NCI),OBSERVATIONAL
NCT04534634,Study of IFN-α Combined With CAR-T Cell Therapy in Relapsed and Refractory Acute Lymphoblastic Leukemia（R/R-ALL）,https://clinicaltrials.gov/study/NCT04534634,RECRUITING,B-cell Acute Lymphoblastic Leukemia,COMBINATION_PRODUCT: IFN-α combined with CAR-T cell therapy,The First Affiliated Hospital of Soochow University,,INTERVENTIONAL
NCT06357988,Testing GDC-0449 (Vismodegib) as Potentially Targeted Treatment in Cancers With Smoothened or Patched 1 Mutant Tumors (MATCH - Subprotocol T),https://clinicaltrials.gov/study/NCT06357988,ACTIVE_NOT_RECRUITING,Advanced Lymphoma|Advanced Malignant Solid Neoplasm|Hematopoietic and Lymphatic System Neoplasm|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma,PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|PROCEDURE: Echocardiography Test|PROCEDURE: Radionuclide Imaging|DRUG: Vismodegib,National Cancer Institute (NCI),,INTERVENTIONAL
NCT00118352,"Alemtuzumab, Fludarabine Phosphate, and Total-Body Irradiation Followed by Cyclosporine and Mycophenolate Mofetil in Treating Patients Who Are Undergoing Donor Stem Cell Transplant for Hematologic Cancer",https://clinicaltrials.gov/study/NCT00118352,COMPLETED,"Acute Undifferentiated Leukemia|Adult Acute Lymphoblastic Leukemia in Remission|Adult Acute Myeloid Leukemia in Remission|Adult Nasal Type Extranodal NK/T-cell Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Childhood Acute Lymphoblastic Leukemia in Remission|Childhood Acute Myeloid Leukemia in Remission|Childhood Burkitt Lymphoma|Childhood Chronic Myelogenous Leukemia|Childhood Diffuse Large Cell Lymphoma|Childhood Immunoblastic Large Cell Lymphoma|Childhood Myelodysplastic Syndromes|Childhood Nasal Type Extranodal NK/T-cell Lymphoma|Chronic Myelomonocytic Leukemia|Chronic Phase Chronic Myelogenous Leukemia|Cutaneous B-cell Non-Hodgkin Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Hepatosplenic T-cell Lymphoma|Intraocular Lymphoma|Juvenile Myelomonocytic Leukemia|Mast Cell Leukemia|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Nodal Marginal Zone B-cell Lymphoma|Noncutaneous Extranodal Lymphoma|Peripheral T-cell Lymphoma|Previously Treated Myelodysplastic Syndromes|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Grade III Lymphomatoid Granulomatosis|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Myeloid Leukemia|Recurrent Childhood Anaplastic Large Cell Lymphoma|Recurrent Childhood Grade III Lymphomatoid Granulomatosis|Recurrent Childhood Large Cell Lymphoma|Recurrent Childhood Lymphoblastic Lymphoma|Recurrent Childhood Small Noncleaved Cell Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Recurrent/Refractory Childhood Hodgkin Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Hairy Cell Leukemia|Refractory Multiple Myeloma|Relapsing Chronic Myelogenous Leukemia|Secondary Myelodysplastic Syndromes|Small Intestine Lymphoma|Splenic Marginal Zone Lymphoma|Testicular Lymphoma|Waldenström Macroglobulinemia",BIOLOGICAL: alemtuzumab|RADIATION: total-body irradiation|DRUG: fludarabine phosphate|DRUG: cyclosporine|DRUG: mycophenolate mofetil|PROCEDURE: allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation|BIOLOGICAL: graft versus host disease prophylaxis/therapy|OTHER: laboratory biomarker analysis,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00873093,Bortezomib and Combination Chemotherapy in Treating Young Patients With Relapsed Acute Lymphoblastic Leukemia or Lymphoblastic Lymphoma,https://clinicaltrials.gov/study/NCT00873093,COMPLETED,B-cell Adult Acute Lymphoblastic Leukemia|B-cell Childhood Acute Lymphoblastic Leukemia|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Lymphoblastic Lymphoma|T-cell Adult Acute Lymphoblastic Leukemia|T-cell Childhood Acute Lymphoblastic Leukemia,DRUG: L-asparaginase|DRUG: doxorubicin hydrochloride|DRUG: therapeutic hydrocortisone|DRUG: vincristine sulfate|DRUG: cytarabine|DRUG: prednisone|DRUG: bortezomib|DRUG: pegaspargase|DRUG: methotrexate|DRUG: etoposide phosphate|DRUG: cyclophosphamide|BIOLOGICAL: filgrastim|DRUG: leucovorin calcium|OTHER: laboratory biomarker analysis|DRUG: High Dose MTX,National Cancer Institute (NCI),,INTERVENTIONAL
NCT04746209,Blinatumomab After TCR Alpha Beta/CD19 Depleted HCT,https://clinicaltrials.gov/study/NCT04746209,RECRUITING,"B-cell Acute Lymphoblastic Leukemia|B-cell Childhood Acute Lymphoblastic Leukemia|B-Cell ALL, Childhood",DEVICE: Alpha/Beta T-cell and B-cell depleted HCT|DRUG: Blinatumomab,Medical College of Wisconsin,"Amgen|University of Wisconsin, Madison",INTERVENTIONAL
NCT02337595,Memory T-cell Infusion to Improve Immunity After TCR-alpha/Beta Depleted Hematopoietic Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT02337595,COMPLETED,"Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myeloid, Acute|Immune Deficiency Disease|Bone Marrow Failure Syndromes|Opportunistic Infections|Graft vs Host Disease",BIOLOGICAL: CD45RA-depleted peripheral blood mononuclear cells,"Federal Research Institute of Pediatric Hematology, Oncology and Immunology",,INTERVENTIONAL
NCT05944562,Tulmimetostat (CPI-0209) in Patients With Mycosis Fungoides and Sézary Syndrome,https://clinicaltrials.gov/study/NCT05944562,RECRUITING,Mycosis Fungoides|Sezary Syndrome|Mycosis Fungoides/Sezary Syndrome,DRUG: Tulmimetostat,Washington University School of Medicine,MorphoSys AG|The Foundation for Barnes-Jewish Hospital|Swim Across America|Daniel E. Corbin Jr. Lymphoma Fund,INTERVENTIONAL
NCT05822050,"An Open, Single Center, Non-randomized, Single Arm Clinical Study of Evaluating the Efficacy of Selinexor in the Maintenance Treatment of PTCL",https://clinicaltrials.gov/study/NCT05822050,RECRUITING,PTCL Patients Who Achieved Complete Response From Frontline Treatment,DRUG: Selinexor,The First Hospital of Jilin University,,INTERVENTIONAL
NCT06635330,Safety and Efficacy of CAR T Cell Therapy in Patients with R/r B-ALL,https://clinicaltrials.gov/study/NCT06635330,RECRUITING,Relapse/Refractory B-cell Acute Lymphoblastic Leukemia,BIOLOGICAL: anti-CD19 CAR T cell therapy,Kara Yakhteh Tajhiz Azma Company,,INTERVENTIONAL
NCT02369653,A Study of the Safety and Effectiveness of Apixaban in Preventing Blood Clots in Children With Leukemia Who Have a Central Venous Catheter and Are Treated With Asparaginase,https://clinicaltrials.gov/study/NCT02369653,COMPLETED,Lymphoma|Acute Lymphoblastic Leukemia,DRUG: Apixaban|OTHER: No systemic anticoagulant prophylaxis,Bristol-Myers Squibb,Pfizer,INTERVENTIONAL
NCT00535470,An Open Label Study to Evaluate the Safety and Efficacy of Mechlorethamine(MCH) 0.04% Formulation in Mycosis Fungoides,https://clinicaltrials.gov/study/NCT00535470,COMPLETED,Mycosis Fungoides,DRUG: 0.04% Mechlorethamine gel,Yaupon Therapeutics,,INTERVENTIONAL
NCT00939770,Crizotinib in Treating Younger Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma,https://clinicaltrials.gov/study/NCT00939770,COMPLETED,Recurrent Childhood Anaplastic Large Cell Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Neuroblastoma|Refractory Anaplastic Large Cell Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Neuroblastoma,DRUG: Crizotinib|OTHER: Laboratory Biomarker Analysis|OTHER: Pharmacological Study|OTHER: Questionnaire Administration,Children's Oncology Group,National Cancer Institute (NCI)|Pfizer,INTERVENTIONAL
NCT00496743,Study of Low-Dose Total Skin Electron Beam Therapy in Mycosis Fungoides,https://clinicaltrials.gov/study/NCT00496743,TERMINATED,Mycosis Fungoides,DEVICE: Low-dose total skin electron beam therapy (4 Gy),Bispebjerg Hospital,,INTERVENTIONAL
NCT01008462,"Autologous Peripheral Blood Stem Cell Transplant Followed by Donor Bone Marrow Transplant in Treating Patients With High-Risk Hodgkin Lymphoma, Non-Hodgkin Lymphoma, Multiple Myeloma, or Chronic Lymphocytic Leukemia",https://clinicaltrials.gov/study/NCT01008462,COMPLETED,B-Cell Prolymphocytic Leukemia|Hypodiploidy|Loss of Chromosome 17p|Plasma Cell Leukemia|Progression of Multiple Myeloma or Plasma Cell Leukemia|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Non-Hodgkin Lymphoma|Recurrent Childhood Hodgkin Lymphoma|Recurrent Childhood Non-Hodgkin Lymphoma|Recurrent Chronic Lymphocytic Leukemia|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Childhood Hodgkin Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Small Lymphocytic Lymphoma|t(14;16)|t(4;14)|T-Cell Prolymphocytic Leukemia|Waldenstrom Macroglobulinemia,PROCEDURE: Allogeneic Bone Marrow Transplantation|PROCEDURE: Allogeneic Hematopoietic Stem Cell Transplantation|PROCEDURE: Autologous Hematopoietic Stem Cell Transplantation|PROCEDURE: Autologous-Allogeneic Tandem Hematopoietic Stem Cell Transplantation|DRUG: Carmustine|DRUG: Cyclophosphamide|DRUG: Cytarabine|DRUG: Etoposide|DRUG: Fludarabine Phosphate|OTHER: Laboratory Biomarker Analysis|DRUG: Melphalan|DRUG: Mycophenolate Mofetil|PROCEDURE: Peripheral Blood Stem Cell Transplantation|DRUG: Tacrolimus|RADIATION: Total-Body Irradiation,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT01518153,Planned Donor Lymphocyte Infusion (DLI) After Allogeneic Stem Cell Transplantation (SCT),https://clinicaltrials.gov/study/NCT01518153,TERMINATED,Leukemia|Lymphoma|Myeloma|Myeloproliferative Diseases,DRUG: Fludarabine|DRUG: Melphalan|DRUG: Alemtuzumab|PROCEDURE: Stem Cell Infusion|DRUG: Tacrolimus|DRUG: Methotrexate|DRUG: G-CSF|PROCEDURE: Low Dose Donor T-Cells|PROCEDURE: High Dose Donor T-Cells,M.D. Anderson Cancer Center,,INTERVENTIONAL
NCT05455931,Real World Observational Study of Poteligeo in Adult Patients With MF and SS (PROSPER),https://clinicaltrials.gov/study/NCT05455931,ACTIVE_NOT_RECRUITING,Mycosis Fungoides and Sézary Syndrome,DRUG: Poteligeo,Kyowa Kirin Pharmaceutical Development Ltd,,OBSERVATIONAL
NCT06207123,"A Study to Investigate LP-118, Ponatinib, Vincristine and Dexamethasone in Relapsed/Refractory Acute Lymphoblastic Leukemia (ALL) or Lymphoblastic Lymphoma (LBL)",https://clinicaltrials.gov/study/NCT06207123,RECRUITING,Acute Leukemia|Lymphoblastic Leukemia|Lymphoblastic Lymphoma,DRUG: LP-118|DRUG: Ponatinib|DRUG: Vincristine|DRUG: Dexamethasone|DRUG: Methotrexate,University of Chicago,,INTERVENTIONAL
NCT00226993,"Phase I/II Study of Intratumoral Injection of CPG 7909, a TLR9 Agonist, Combined With Local Radiation for Patients With Recurrent Mycosis Fungoides.",https://clinicaltrials.gov/study/NCT00226993,WITHDRAWN,Mycosis Fungoides,DRUG: CPG 7909,Stanford University,National Institutes of Health (NIH),INTERVENTIONAL
NCT00085150,LMB-2 Immunotoxin in Treating Young Patients With Relapsed or Refractory Leukemia or Lymphoma,https://clinicaltrials.gov/study/NCT00085150,COMPLETED,Leukemia|Lymphoma,BIOLOGICAL: LMB-2 immunotoxin,National Cancer Institute (NCI),,INTERVENTIONAL
NCT03884205,GDPE/CEOPE Compared With CEOPE for Newly Diagnosed Patients With PTCL,https://clinicaltrials.gov/study/NCT03884205,UNKNOWN,PTCL|Gemcitabine,,Shandong Provincial Hospital,,OBSERVATIONAL
NCT02228772,Phase I Study of MLN 9708 in Addition to Chemotherapy for the Treatment of Acute Lymphoblastic Leukemia in Older Adults,https://clinicaltrials.gov/study/NCT02228772,COMPLETED,Acute Lymphoblastic Leukemia|Lymphoblastic Lymphoma|B-cell Adult Acute Lymphoblastic Leukemia|T-cell Adult Acute Lymphoblastic Leukemia,DRUG: MLN 9708|DRUG: Vincristine|DRUG: Cytarabine|DRUG: Doxorubicin|DRUG: Mercaptopurine|DRUG: Cyclophosphamide|DRUG: Methotrexate,Massachusetts General Hospital,"Millennium Pharmaceuticals, Inc.",INTERVENTIONAL
NCT00899366,DNA Analysis of Tissue From Patients With T-Cell Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT00899366,COMPLETED,Leukemia,GENETIC: microarray analysis|GENETIC: mutation analysis|OTHER: immunologic technique,ECOG-ACRIN Cancer Research Group,National Cancer Institute (NCI),OBSERVATIONAL
NCT04960618,Pembrolizumab in Combination With Gemcitabine in People With Advanced Mycosis Fungoides or Sézary Syndrome,https://clinicaltrials.gov/study/NCT04960618,RECRUITING,Mycosis Fungoides|Mycosis Fungoides/Sezary Syndrome|Sezary Syndrome|Sézary|Advanced Mycosis Fungoides,DRUG: Gemcitabine|DRUG: Pembrolizumab,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT05507541,TTI-622 in Combination With Pembrolizumab for the Treatment of Relapsed or Refractory Diffuse Large B-Cell Lymphoma,https://clinicaltrials.gov/study/NCT05507541,RECRUITING,"Recurrent ALK Positive Large B-Cell Lymphoma|Recurrent B-Cell Non-Hodgkin Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma Associated With Chronic Inflammation|Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Recurrent EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Recurrent Grade 3b Follicular Lymphoma|Recurrent High Grade B-Cell Lymphoma|Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Recurrent High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|Recurrent High Grade B-Cell Lymphoma, Not Otherwise Specified|Recurrent Intravascular Large B-Cell Lymphoma|Recurrent Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type|Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma|Recurrent T-Cell/Histiocyte-Rich Large B-Cell Lymphoma|Refractory ALK Positive Large B-Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma Associated With Chronic Inflammation|Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Refractory EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Refractory Grade 3b Follicular Lymphoma|Refractory High Grade B-Cell Lymphoma|Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Refractory High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|Refractory High Grade B-Cell Lymphoma, Not Otherwise Specified|Refractory Intravascular Large B-Cell Lymphoma|Refractory Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type|Refractory Primary Mediastinal Large B-Cell Lymphoma|Refractory T-Cell/Histiocyte-Rich Large B-Cell Lymphoma|Recurrent Gray Zone Lymphoma",PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|DRUG: Ontorpacept|BIOLOGICAL: Pembrolizumab|PROCEDURE: Positron Emission Tomography|DRUG: Maplirpacept|PROCEDURE: Biopsy,Mayo Clinic,,INTERVENTIONAL
NCT01016990,"Valproic Acid in Treating Patients With Previously Treated Non-Hodgkin Lymphoma, Hodgkin Lymphoma, or Chronic Lymphocytic Leukemia",https://clinicaltrials.gov/study/NCT01016990,UNKNOWN,Leukemia|Lymphoma,DRUG: valproic acid|GENETIC: western blotting|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,Auxilio Mutuo Cancer Center,,INTERVENTIONAL
NCT04850560,Sequential Low-dose Decitabine With PD-1/CD28 CD19 CAR-T in Relapsed or Refractory B-cell Lymphoma,https://clinicaltrials.gov/study/NCT04850560,UNKNOWN,Objective Response Rate,BIOLOGICAL: CD19 PD-1/CD28 CAR-T Plus Low Dose Decitabine,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT03775525,Study Evaluating GZ17-6.02 in Patients With Advanced Solid Tumors or in Combination With Capecitabine in Metastatic Hormone Receptor Positive Breast Cancer,https://clinicaltrials.gov/study/NCT03775525,UNKNOWN,Advanced Cancer|Gastric Cancer|Breast Cancer|Pancreatic Cancer|Prostate Cancer Metastatic|Colo-rectal Cancer|Solid Tumor|Solid Carcinoma|Solid Carcinoma of Stomach|Cancer of Stomach|Lymphoma|Sarcoma|Cutaneous T Cell Lymphoma|Head and Neck Squamous Cell Carcinoma|Basal Cell Carcinoma|Cutaneous T-cell Lymphoma|Cutaneous Squamous Cell Carcinoma,DRUG: GZ17-6.02|DRUG: Capecitabine,"Genzada Pharmaceuticals USA, Inc.",Translational Drug Development,INTERVENTIONAL
NCT04652960,Duvelisib and Nivolumab for the Treatment of Stage IIB-IVB Mycosis Fungoides and Sezary Syndrome,https://clinicaltrials.gov/study/NCT04652960,ACTIVE_NOT_RECRUITING,Stage IIB Mycosis Fungoides and Sezary Syndrome AJCC v8|Stage III Mycosis Fungoides and Sezary Syndrome AJCC v8|Stage IV Mycosis Fungoides and Sezary Syndrome AJCC v8,PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|DRUG: Duvelisib|BIOLOGICAL: Nivolumab|PROCEDURE: Positron Emission Tomography|PROCEDURE: Punch Biopsy,National Cancer Institute (NCI),,INTERVENTIONAL
NCT00996359,Partially HLA-Matched Irradiated Allogeneic Cellular Therapy After Reduced Intensity Total Body Irradiation,https://clinicaltrials.gov/study/NCT00996359,TERMINATED,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,BIOLOGICAL: Irradiated haploidentical allogeneic lymphocytes|RADIATION: total-body irradiation,University of Medicine and Dentistry of New Jersey,National Cancer Institute (NCI),INTERVENTIONAL
NCT01240525,Donor Lymphocyte Infusion After Stem Cell Transplant in Treating Patients With Haematological Cancers,https://clinicaltrials.gov/study/NCT01240525,UNKNOWN,Graft Versus Host Disease|Leukemia|Lymphoma|Myeloma|Myelodysplastic Syndrome,OTHER: CD4 DLI|OTHER: No DLI,"University College, London",,INTERVENTIONAL
NCT05965505,Study of AXT-1003 in Adult Subjects With Relapsed/Refractory Non-Hodgkin Lymphomas,https://clinicaltrials.gov/study/NCT05965505,TERMINATED,Relapsed or Refractory Non-Hodgkin's Lymphoma,DRUG: AXT-1003,"Axter Therapeutics (Beijing) Co., Ltd",,INTERVENTIONAL
NCT00840853,"Multi-virus CTLs Expressing CD19 Chimeric Receptors, CD19 Positive Malignancies Post SCT, MULTIPRAT",https://clinicaltrials.gov/study/NCT00840853,ACTIVE_NOT_RECRUITING,Acute Lymphoblastic Leukemia (ALL)|Chronic Lymphocytic Leukemia (CLL)|Non Hodgkin's Lymphoma,GENETIC: CD19CAR/virus specific T cells|DRUG: Benadryl and Tylenol,Baylor College of Medicine,"The Methodist Hospital Research Institute|Center for Cell and Gene Therapy, Baylor College of Medicine",INTERVENTIONAL
NCT00608361,Dasatinib in Treating Patients With Solid Tumors or Lymphomas That Are Metastatic or Cannot Be Removed By Surgery,https://clinicaltrials.gov/study/NCT00608361,COMPLETED,Adult Acute Lymphoblastic Leukemia in Remission|Adult B Acute Lymphoblastic Leukemia|Adult Hepatocellular Carcinoma|Adult Nasal Type Extranodal NK/T-Cell Lymphoma|Adult Solid Neoplasm|Adult T Acute Lymphoblastic Leukemia|Advanced Adult Hepatocellular Carcinoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-Cell Lymphoma|Chronic Lymphocytic Leukemia|Cutaneous B-Cell Non-Hodgkin Lymphoma|Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue|Hepatosplenic T-Cell Lymphoma|Intraocular Lymphoma|Localized Non-Resectable Adult Liver Carcinoma|Localized Resectable Adult Liver Carcinoma|Lymphomatous Involvement of Non-Cutaneous Extranodal Site|Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Nodal Marginal Zone Lymphoma|Progressive Hairy Cell Leukemia Initial Treatment|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Grade III Lymphomatoid Granulomatosis|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Lymphoma|Recurrent Adult Liver Carcinoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-Cell Leukemia/Lymphoma|Recurrent Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides and Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Hairy Cell Leukemia|Small Intestinal Lymphoma|Splenic Marginal Zone Lymphoma|Stage II Small Lymphocytic Lymphoma|Stage III Adult Burkitt Lymphoma|Stage III Adult Diffuse Large Cell Lymphoma|Stage III Adult Diffuse Mixed Cell Lymphoma|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|Stage III Adult Hodgkin Lymphoma|Stage III Adult Immunoblastic Lymphoma|Stage III Adult Lymphoblastic Lymphoma|Stage III Adult T-Cell Leukemia/Lymphoma|Stage III Chronic Lymphocytic Leukemia|Stage III Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage III Grade 1 Follicular Lymphoma|Stage III Grade 2 Follicular Lymphoma|Stage III Grade 3 Follicular Lymphoma|Stage III Mantle Cell Lymphoma|Stage III Marginal Zone Lymphoma|Stage III Small Lymphocytic Lymphoma|Stage IIIA Mycosis Fungoides and Sezary Syndrome|Stage IIIB Mycosis Fungoides and Sezary Syndrome|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult Immunoblastic Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Adult T-Cell Leukemia/Lymphoma|Stage IV Chronic Lymphocytic Leukemia|Stage IV Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Small Lymphocytic Lymphoma|Stage IVA Mycosis Fungoides and Sezary Syndrome|Stage IVB Mycosis Fungoides and Sezary Syndrome|T-Cell Large Granular Lymphocyte Leukemia|Testicular Lymphoma|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Hairy Cell Leukemia|Waldenstrom Macroglobulinemia,DRUG: Dasatinib|OTHER: Pharmacological Study,National Cancer Institute (NCI),,INTERVENTIONAL
NCT05967949,A Retrospective Clinical Study on the First-line Maintenance Treatment of PTCL With Chidamide.,https://clinicaltrials.gov/study/NCT05967949,RECRUITING,PTCL,DRUG: chidamide,The First Affiliated Hospital with Nanjing Medical University,,OBSERVATIONAL
NCT04256018,Mogamulizumab + Low-Dose Total Skin Electron Beam Tx in Mycosis Fungoides & Sézary Syndrome,https://clinicaltrials.gov/study/NCT04256018,RECRUITING,Sezary Syndrome|Mycosis Fungoides,DRUG: Mogamulizumab|RADIATION: LD TSEBT,Stanford University,,INTERVENTIONAL
NCT00651716,T Cells in Predicting Acute Graft-Versus-Host Disease in Patients Undergoing Donor Stem Cell Transplant,https://clinicaltrials.gov/study/NCT00651716,TERMINATED,Breast Cancer|Chronic Myeloproliferative Disorders|Gestational Trophoblastic Tumor|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms|Neuroblastoma|Ovarian Cancer|Testicular Germ Cell Tumor,OTHER: flow cytometry|OTHER: laboratory biomarker analysis|OTHER: Data Collection,Vanderbilt-Ingram Cancer Center,National Cancer Institute (NCI)|National Institutes of Health (NIH),OBSERVATIONAL
NCT00127881,Study of Human Monoclonal Antibody to Treat Mycosis Fungoides and Sezary Syndrome,https://clinicaltrials.gov/study/NCT00127881,TERMINATED,Mycosis Fungoides|Sezary Syndrome,DRUG: HuMax-CD4 (zanolimumab),Emergent Product Development Seattle LLC,,INTERVENTIONAL
NCT00096161,Pentostatin and Lymphocyte Infusion in Preventing Graft Rejection in Patients Who Have Undergone Donor Stem Cell Transplant,https://clinicaltrials.gov/study/NCT00096161,COMPLETED,"Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Chronic Lymphocytic Leukemia|Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Graft Versus Host Disease|Hodgkin Lymphoma|Myelodysplastic/Myeloproliferative Neoplasm|Non-Hodgkin Lymphoma|Plasma Cell Myeloma|Waldenstrom Macroglobulinemia",DRUG: Cyclosporine|DRUG: Mycophenolate Mofetil|DRUG: Pentostatin|BIOLOGICAL: Therapeutic Allogeneic Lymphocytes,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT05225831,Safety and Efficacy of CD19/CD22 Dual Targeted CAR-T Cell Therapy in R/R B-Cell Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT05225831,UNKNOWN,CD19+ and CD 22+ B-ALL,"BIOLOGICAL: Autologous CD19/CD22 Chimeric Antigen Receptor T-cells|DRUG: Cyclophosphamide,Fludarabine","Hebei Senlang Biotechnology Inc., Ltd.",Hebei Yanda Ludaopei Hospital,INTERVENTIONAL
